================================================================================
モジュール A サブ：台割 【記入済み】
================================================================================

| P# | 表裏 | 役割 | 原稿 ID | 見開き |
|----|------|------|---------|--------|
| 表1 | 表 | 第一印象・キャッチ | #1 | — |
| 表2 | 裏 | 予約・QR・法表記 | #7 | — |
| 1 | | コンセプト導入 | #2 | — |
| 2 | | 客室（写真主役） | #3 前半 | P2-3 |
| 3 | | 客室（詳細・キャプション） | #3 後半 | P2-3 |
| 4 | | ダイニング | #4 | — |
| 5 | | アクセス | #5 | — |
| 6 | | FAQ | #6 | — |

折り: なし（中綴じ） / ノンブル: なし
